y,z,TBKAN_Ux,TBKAN_Uy,TBKAN_Uz,DNS_Ux,DNS_Uy,DNS_Uz,Error_Ux,Error_Uy,Error_Uz,Mag_Error_TBKAN_vs_DNS,Mag_Error_RANS_vs_DNS
0.302471,-0.493883,0.0587515,-0.00164991,3.79275e-06,0.062307253613345784,-0.0029993478673496204,-9.431086654135307e-06,-0.0035557536133457857,0.0013494378673496203,1.3223836654135307e-05,0.0038032277326653157,0.0031350358471625437
0.314042,-0.493883,0.0580569,-0.00160564,2.4475e-07,0.06222885012939723,-0.002954942374691584,-2.1573882378932418e-05,-0.00417195012939723,0.001349302374691584,2.181863237893242e-05,0.0043847760299979745,0.003554931727535575
0.325102,-0.493883,0.0571997,-0.00155618,-2.71602e-06,0.062033425307869754,-0.002893980909733725,-2.9155904585798707e-05,-0.0048337253078697545,0.0013378009097337249,2.6439884585798707e-05,0.005015507022577264,0.003938021202976665
0.335674,-0.493883,0.0561847,-0.00150396,-4.2529e-06,0.06147628521917732,-0.0027558122291607,-4.714111709304561e-05,-0.0052915852191773236,0.0012518522291606999,4.288821709304561e-05,0.0054378164307593135,0.004605932008573231
0.34578,-0.493883,0.0550164,-0.00145294,-3.80218e-06,0.06097076251118897,-0.0026438462045546623,-5.364150239046833e-05,-0.005954362511188971,0.0011909062045546623,4.983932239046833e-05,0.0060724932655998685,0.0049364212902327734
0.35544,-0.493883,0.0536947,-0.00140614,-6.78076e-07,0.05989480029297666,-0.0024395158571824367,-6.86926845867734e-05,-0.006200100292976664,0.0010333758571824368,6.80146085867734e-05,0.006285995171184755,0.005413277008943834
0.364674,-0.493883,0.0522246,-0.00136981,5.56857e-06,0.05909093033280818,-0.00229524337748671,-7.367450282485311e-05,-0.006866330332808174,0.0009254333774867101,7.924307282485311e-05,0.0069288670531334915,0.005602474141560799
0.373501,-0.493883,0.0506305,-0.00135201,1.2032e-05,0.05742906513341513,-0.0020417041646686724,-8.650523515523613e-05,-0.006798565133415126,0.0006896941646686724,9.853723515523613e-05,0.006834169700905728,0.005733158673840967
0.381939,-0.493883,0.0489486,-0.00135321,1.5696e-05,0.056289046522340715,-0.0018751691756615859,-9.023909276648262e-05,-0.007340446522340713,0.0005219591756615858,0.00010593509276648263,0.007359743118634007,0.005717746753555812
0.390004,-0.493883,0.0472128,-0.00136481,1.64997e-05,0.05456211285854455,-0.0016571679160674424,-9.51856177484785e-05,-0.007349312858544552,0.0002923579160674424,0.0001116853177484785,0.0073559735082486645,0.00557647359232646
0.397713,-0.493883,0.0454442,-0.00137437,1.3227e-05,0.05200393394878493,-0.001387488173931223,-9.795169876492218e-05,-0.006559733948784931,1.3118173931223054e-05,0.00011117869876492218,0.006560689161085738,0.0051275326125931895
0.405083,-0.493883,0.0436481,-0.00136951,3.13165e-06,0.049993750361103026,-0.0011937467531807596,-9.674051279988183e-05,-0.006345650361103024,-0.0001757632468192404,9.987216279988183e-05,0.006348869637439542,0.004882780796768834
0.412127,-0.493883,0.0418197,-0.00134173,-1.29964e-05,0.04831826091706917,-0.0010410635950887266,-9.533157157660743e-05,-0.006498560917069171,-0.00030066640491127334,8.233517157660743e-05,0.006506033611992772,0.004572104186612602
0.418861,-0.493883,0.0399517,-0.00128799,-3.1387e-05,0.045595198779874654,-0.000840425701847949,-8.912078172551233e-05,-0.005643498779874655,-0.0004475642981520509,5.773378172551232e-05,0.005661512648487097,0.004246572085272793
0.425297,-0.493883,0.0380401,-0.00121072,-4.85591e-05,0.04379198467884426,-0.0007199516165895544,-8.550768516878455e-05,-0.005751884678844257,-0.0004907683834104456,3.694858516878455e-05,0.005772901884046236,0.0039210188542151995
0.43145,-0.493883,0.0360847,-0.00111487,-6.36853e-05,0.040875861961637804,-0.0005624773954628547,-7.510187378116153e-05,-0.004791161961637806,-0.0005523926045371454,1.1416573781161527e-05,0.0048229141471053845,0.00305454693586966
0.437332,-0.493883,0.0340848,-0.00100306,-7.74071e-05,0.03785481171635581,-0.0004260610419863933,-6.389744270561627e-05,-0.0037700117163558117,-0.0005769989580136068,-1.3509657294383739e-05,0.0038139347988460806,0.0026928240641506175
0.442953,-0.493883,0.032037,-0.000875368,-9.01686e-05,0.035957309831907466,-0.0003518124933634954,-5.938633684976341e-05,-0.003920309831907463,-0.0005235555066365045,-3.0782263150236584e-05,0.003955235403159258,0.0024169134564972004
0.448327,-0.493883,0.0299377,-0.00073445,-9.98379e-05,0.03273863134519593,-0.0002552640602910959,-4.7426966514459574e-05,-0.0028009313451959304,-0.0004791859397089041,-5.241093348554042e-05,0.002842108807076994,0.001996224170152819
0.453464,-0.493883,0.0277878,-0.00059079,-0.000103331,0.03005543451184101,-0.00018972673465558453,-3.9170257316344765e-05,-0.002267634511841008,-0.0004010632653444155,-6.416074268365524e-05,0.0023037219066117443,0.0015888631141869104
0.458375,-0.493883,0.0255949,-0.000453388,-0.000102746,0.028145818031935638,-0.0001489031549776137,-3.5428339389837564e-05,-0.0025509180319356374,-0.0003044848450223863,-6.731766061016243e-05,0.002569907681986401,0.0013936950174355171
0.463068,-0.493883,0.0233667,-0.000327395,-9.66074e-05,0.025095250790290218,-0.00010242617141989764,-2.734297868111518e-05,-0.0017285507902902175,-0.00022496882858010238,-6.926442131888483e-05,0.0017445046198007843,0.0012598470937644742
0.467555,-0.493883,0.0211106,-0.000219004,-8.45132e-05,0.02309828333835932,-7.647809075108262e-05,-2.404034830180071e-05,-0.0019876833383593202,-0.00014252590924891738,-6.0472851698199285e-05,0.0019937040036552556,0.0010036240895065047
0.471844,-0.493883,0.0188353,-0.000130663,-6.95283e-05,0.02057785682158618,-5.128024856938484e-05,-1.892934359799712e-05,-0.0017425568215861803,-7.938275143061515e-05,-5.0598956402002874e-05,0.001745097748571752,0.0008270582750946082
0.475943,-0.493883,0.0165482,-6.58404e-05,-5.02682e-05,0.017329135128422678,-2.9612956047381555e-05,-1.2383258915211951e-05,-0.0007809351284226787,-3.622744395261844e-05,-3.788494108478805e-05,0.0007826923861012599,0.0005217312970350855
0.479862,-0.493883,0.0142557,-2.69913e-05,-3.05708e-05,0.015450784169733807,-1.9602238256784974e-05,-1.033438241127347e-05,-0.0011950841697338076,-7.389061743215026e-06,-2.023641758872653e-05,0.0011952783289169995,0.00039400708500872167
0.483608,-0.493883,0.0119603,-8.67645e-06,-1.45065e-05,0.012489173296949905,-9.993207343707375e-06,-6.2764626672126656e-06,-0.0005288732969499048,1.316757343707374e-06,-8.230037332787334e-06,0.0005289389677373595,0.0003836449241162791
0.487189,-0.493883,0.00965844,-2.10183e-06,-5.12001e-06,0.010636462694558828,-5.68196477727015e-06,-4.864483166761858e-06,-0.0009780226945588274,3.58013477727015e-06,-2.555268332381422e-07,0.0009780292806102972,0.00030070053079296876
0.490611,-0.493883,0.00733941,-1.54594e-07,-1.69297e-06,0.007351900964071536,-1.8375824951448919e-06,-1.7449788235733394e-06,-1.2490964071535694e-05,1.6829884951448919e-06,5.200882357333947e-08,1.2603941392632507e-05,1.1766686772669662e-05
0.493883,-0.493883,0.00498396,1.26431e-07,-1.24983e-07,0.005469543549999989,-7.031151249999966e-07,-9.789727499999955e-07,-0.00048558354999998863,8.295461249999966e-07,8.539897499999954e-07,0.0004855850095254775,3.0472555243448583e-05
0.49701,-0.493883,0.00256221,-6.74053e-08,-8.94667e-09,0.002366850689701596,-3.0917344587965745e-08,-2.654034009155787e-09,0.00019535931029840414,-3.648795541203426e-08,-6.292635990844213e-09,0.00019535931380724165,2.445739231729646e-06
0.5,-0.493883,0.0,0.0,0.0,,,,,,,,
0.0,-0.490611,0.0902804,-2.14175e-06,0.000250976,0.09104009918583784,-0.0001270949191813559,6.244399462204931e-05,-0.0007596991858378477,0.0001249531691813559,0.00018853200537795068,0.0007926540635756463,0.01855612218907163
0.0249124,-0.490611,0.090388,-0.000254121,0.000250268,0.09147924439629643,-0.00043381685232971734,6.210750360610497e-05,-0.0010912443962964313,0.00017969585232971734,0.00018816049639389502,0.0011218330108336372,0.01802959164113621
0.0487259,-0.490611,0.0906446,-0.000494162,0.000249373,0.09170611138883702,-0.0006680116963409998,6.213830180078844e-05,-0.0010615113888370192,0.00017384969634099974,0.00018723469819921154,0.0010918273571212187,0.0176243401125136
0.0714891,-0.490611,0.0909313,-0.000723121,0.000249436,0.0917654948416903,-0.0009431628510368495,6.22188565856496e-05,-0.0008341948416902972,0.00022004185103684953,0.00018721714341435043,0.0008828078550277249,0.01723481685482181
